id,imaging_mode,coordinates,look_angle,squint_angle,resolution_azimuth,resolution_range,resolution,image_length,image_width,looks_range,looks_azimuth,imaging_time,lat_center,long_center,imaging_time_center
CAPELLA_C10_SP_GEC_VV_20230508042028_20230508042056,spotlight,"[[114.08441799, 10.89132834], [114.05063993, 10.92289486], [114.08235346, 10.95604258], [114.11613292, 10.92447393], [114.08441799, 10.89132834]]",34.3,0,0.56,0.38,0.62,5046.013956,5082.096511,1,9,28.401999,114.0835925,10.91721361,0 days 00:00:14.201000
CAPELLA_C06_SP_GEC_HH_20230507221629_20230507221654,spotlight,"[[115.54761853, 9.95603452], [115.50993595, 9.92961804], [115.53641777, 9.89243073], [115.57409941, 9.91884154], [115.54761853, 9.95603452]]",31.2,0,0.56,0.38,0.68,5035.325247,5060.83905,1,9,24.664539,115.543138,9.93059187,0 days 00:00:12.332270
CAPELLA_C06_SP_GEC_HH_20230507221332_20230507221356,spotlight,"[[109.17124457, 18.71851735], [109.13334521, 18.69049679], [109.16253041, 18.65454634], [109.20042789, 18.68255763], [109.17124457, 18.71851735]]",29.4,0,0.56,0.38,0.71,5031.552092,5059.539731,1,9,24.196757,109.1677585,18.69292709,0 days 00:00:12.098378
CAPELLA_C06_SP_GEC_HH_20230506222259_20230506222326,spotlight,"[[110.45811683, 19.17140214], [110.42023353, 19.14275831], [110.44990839, 19.10723176], [110.48779093, 19.13586581], [110.45811683, 19.17140214]]",37,0,0.56,0.38,0.58,5021.498964,5092.500495,1,9,26.639566,110.4548333,19.14573203,0 days 00:00:13.319783
CAPELLA_C09_SP_GEC_HH_20230506161129_20230506161157,spotlight,"[[103.61113194, 10.54650947], [103.57847409, 10.51373924], [103.61119427, 10.48179681], [103.64385448, 10.51456122], [103.61113194, 10.54650947]]",32.8,0,0.56,0.38,0.64,5031.377548,5090.848523,1,9,27.063603,103.6111573,10.52062324,0 days 00:00:13.531802
CAPELLA_C10_SP_GEC_HH_20230506160459_20230506160525,spotlight,"[[115.50918799, 9.92485219], [115.54300543, 9.95659713], [115.57465678, 9.92345385], [115.54084044, 9.89171105], [115.50918799, 9.92485219]]",29.5,0,0.56,0.38,0.71,5048.402585,5106.951288,1,9,26.309124,115.5353757,9.924293282,0 days 00:00:13.154562
CAPELLA_C10_SP_GEC_HH_20230505053831_20230505053858,spotlight,"[[114.08561664, 10.89125741], [114.05209537, 10.92277746], [114.08392205, 10.95585655], [114.11744413, 10.92433416], [114.08561664, 10.89125741]]",28.6,0,0.56,0.38,0.73,5048.986435,5058.178383,1,9,26.469383,114.084939,10.9170966,0 days 00:00:13.234692
CAPELLA_C06_SP_GEC_HH_20230504003048_20230504003112,spotlight,"[[103.61852161, 10.54052423], [103.58083832, 10.51416384], [103.60735579, 10.47693463], [103.64503729, 10.50328905], [103.61852161, 10.54052423]]",27,0,0.56,0.38,0.77,5038.413592,5051.176048,1,9,23.387925,103.6140549,10.5150872,0 days 00:00:11.693962
CAPELLA_C09_SP_GEC_HH_20230503173041_20230503173108,spotlight,"[[112.86536031, 9.55795317], [112.89878141, 9.5893179], [112.93036362, 9.55614273], [112.89694345, 9.52477982], [112.86536031, 9.55795317]]",29.3,0,0.56,0.38,0.71,5048.305917,5049.35464,1,9,26.487636,112.8913618,9.557229358,0 days 00:00:13.243818
CAPELLA_C10_SP_GEC_HH_20230503172250_20230503172319,spotlight,"[[115.50930804, 9.92522953], [115.54282516, 9.95652831], [115.57436333, 9.92331696], [115.54084763, 9.89201985], [115.50930804, 9.92522953]]",34.9,0,0.56,0.38,0.61,5045.385948,5049.129643,1,9,28.3477,115.5353304,9.924464836,0 days 00:00:14.173850
CAPELLA_C10_SP_GEC_HH_20230430184025_20230430184056,spotlight,"[[115.50932624, 9.925309], [115.54291465, 9.95653005], [115.57434595, 9.92327097], [115.54075931, 9.89205122], [115.50932624, 9.925309]]",39.2,0,0.56,0.38,0.55,5041.237489,5048.938655,1,9,30.275834,115.5353345,9.924494048,0 days 00:00:15.137917
CAPELLA_C06_SP_GEC_HH_20230430010613_20230430010637,spotlight,"[[109.17108889, 18.71858867], [109.13331748, 18.69060978], [109.16250355, 18.65466915], [109.20027274, 18.68263841], [109.17108889, 18.71858867]]",30.4,0,0.56,0.38,0.69,5030.752328,5046.021339,1,9,24.338594,109.1676543,18.69301894,0 days 00:00:12.169297
CAPELLA_C06_SP_GEC_HH_20230429011515_20230429011543,spotlight,"[[110.45781565, 19.17139624], [110.42030704, 19.1429403], [110.45001224, 19.10745765], [110.48752002, 19.13590365], [110.45781565, 19.17139624]]",38.3,0,0.56,0.38,0.57,5019.683446,5048.700761,1,9,27.044645,110.4546941,19.14581882,0 days 00:00:13.522322
CAPELLA_C09_SP_GEC_HH_20230428201029_20230428201058,spotlight,"[[103.57816225, 10.51488615], [103.61171587, 10.54621595], [103.64333584, 10.51302546], [103.60978356, 10.48169746], [103.57816225, 10.51488615]]",35.1,0,0.56,0.38,0.61,5045.566509,5049.548007,1,9,28.44044,103.604232,10.51414223,0 days 00:00:14.220220
CAPELLA_C09_SP_GEC_HH_20230428081458_20230428081518,spotlight,"[[120.97828159, 14.54480162], [120.94458915, 14.5765037], [120.97714137, 14.60933394], [121.01083481, 14.57762833], [120.97828159, 14.54480162]]",33.7,0,0.78,0.45,0.74,5049.610155,5048.483502,1,9,20.045094,120.9778257,14.57061384,0 days 00:00:10.022547
CAPELLA_C09_SP_GEC_HH_20230428081255_20230428081325,spotlight,"[[115.54294834, 9.89181681], [115.50937857, 9.92305247], [115.54082358, 9.95630901], [115.57439492, 9.92507205], [115.54294834, 9.89181681]]",38,0,0.56,0.38,0.57,5042.055423,5048.787111,1,9,29.97382,115.5420988,9.91761343,0 days 00:00:14.986910
